Bloc,Jour,Theme,Italien,Francais,Esempio (IT),Exemple (FR)
Bloc 1 - Socle de terrain,17,Négation et restriction,tranne,sauf,Muove tutto tranne il braccio sinistro.,Il bouge tout sauf le bras gauche.
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",il numero civico,le numéro de rue,Mi dica il numero civico esatto.,Donnez-moi le numéro de rue exact.
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",il peso,le poids,"Quanto pesa il bambino, circa?","Combien pèse l'enfant, environ ?"
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",l'altezza,la taille,Che altezza ha il paziente?,Quelle taille fait le patient ?
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",i chili,les kilos,Pesa circa ottanta chili.,Il pèse environ quatre-vingts kilos.
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",i centimetri,les centimètres,La ferita è lunga circa cinque centimetri.,La plaie mesure environ cinq centimètres.
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",i millilitri,les millilitres,Ha perso circa duecento millilitri di sangue.,Il a perdu environ deux cents millilitres de sang.
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",i milligrammi,les milligrammes,Prepara quattro milligrammi endovena.,Prépare quatre milligrammes en intraveineuse.
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",le gocce,les gouttes,Prende venti gocce la sera.,Il prend vingt gouttes le soir.
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",la metà,la moitié,Ha bevuto la metà della bottiglia.,Il a bu la moitié de la bouteille.
Bloc 1 - Socle de terrain,18,"Nombres, mesures et unités",il doppio,le double,La dose è il doppio di quella abituale.,La dose est le double de celle habituelle.
Bloc 1 - Socle de terrain,19,Téléphone et communication,chiamare,appeler,Chi ha chiamato la centrale 144?,Qui a appelé la centrale 144 ?
Bloc 1 - Socle de terrain,19,Téléphone et communication,richiamare,rappeler,La centrale ci richiama tra poco.,La centrale nous rappelle dans un instant.
Bloc 1 - Socle de terrain,19,Téléphone et communication,avvisare,prévenir,Avvisiamo il Pronto Soccorso del nostro arrivo.,Nous prévenons les urgences de notre arrivée.
Bloc 1 - Socle de terrain,19,Téléphone et communication,il natel,le portable (helvétisme),Ha il natel con sé per avvisare la famiglia?,Avez-vous votre portable sur vous pour prévenir la famille ?
Bloc 1 - Socle de terrain,19,Téléphone et communication,il numero di telefono,le numéro de téléphone,Mi lascia un numero di telefono di un familiare?,Vous me laissez le numéro d'un proche ?
Bloc 1 - Socle de terrain,19,Téléphone et communication,rispondere,répondre,Non risponde al telefono da stamattina.,Il ne répond plus au téléphone depuis ce matin.
Bloc 1 - Socle de terrain,19,Téléphone et communication,la linea,la ligne,"La linea è disturbata, ripeta per favore.","La ligne est mauvaise, répétez s'il vous plaît."
Bloc 1 - Socle de terrain,19,Téléphone et communication,il messaggio,le message,Le lascio un messaggio con l'ospedale di destinazione.,Je vous laisse un message avec l'hôpital de destination.
Bloc 1 - Socle de terrain,19,Téléphone et communication,mettere in vivavoce,mettre sur haut-parleur,"Metta il telefono in vivavoce, per favore.","Mettez le téléphone sur haut-parleur, s'il vous plaît."
Bloc 1 - Socle de terrain,19,Téléphone et communication,il citofono,l'interphone,Risponda al citofono e ci apra.,Répondez à l'interphone et ouvrez-nous.
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,la moglie,l'épouse,La moglie viene con noi in ambulanza.,L'épouse vient avec nous dans l'ambulance.
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,il marito,le mari,Il marito ha chiamato il 144 alle otto.,Le mari a appelé le 144 à huit heures.
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,"il figlio, la figlia","le fils, la fille",La figlia ha le chiavi di casa.,La fille a les clés de la maison.
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,i genitori,les parents,Avvisate i genitori del bambino.,Prévenez les parents de l'enfant.
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,il vicino di casa,le voisin,Il vicino di casa ha sentito un tonfo.,Le voisin a entendu un bruit sourd.
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,"il badante, la badante",l'aide à domicile,La badante è con lei tutti i giorni.,L'aide à domicile est avec elle tous les jours.
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,il medico di famiglia,le médecin traitant,Chi è il suo medico di famiglia?,Qui est votre médecin traitant ?
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,il curatore,le curateur (représentant légal),Chi è il curatore del paziente?,Qui est le curateur du patient ?
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,la persona di riferimento,la personne de référence,Ci dia il contatto della persona di riferimento.,Donnez-nous le contact de la personne de référence.
Bloc 1 - Socle de terrain,20,Famille et entourage du patient,il testimone,le témoin,C'è un testimone dell'incidente?,Y a-t-il un témoin de l'accident ?
Bloc 1 - Socle de terrain,21,Vie courante et logement,la casa per anziani,"l'EMS, la maison de retraite",Il paziente vive in casa per anziani da due anni.,Le patient vit en EMS depuis deux ans.
Bloc 1 - Socle de terrain,21,Vie courante et logement,l'appartamento,l'appartement,L'appartamento è al piano terra.,L'appartement est au rez-de-chaussée.
Bloc 1 - Socle de terrain,21,Vie courante et logement,la chiave,la clé,Ha la chiave per chiudere la porta?,Avez-vous la clé pour fermer la porte ?
Bloc 1 - Socle de terrain,21,Vie courante et logement,la cucina,la cuisine,"L'abbiamo trovato in cucina, seduto per terra.","Nous l'avons trouvé dans la cuisine, assis par terre."
Bloc 1 - Socle de terrain,21,Vie courante et logement,la camera da letto,la chambre à coucher,Il paziente è nella camera da letto.,Le patient est dans la chambre à coucher.
Bloc 1 - Socle de terrain,21,Vie courante et logement,il bagno,la salle de bain,È caduta in bagno uscendo dalla doccia.,Elle est tombée dans la salle de bain en sortant de la douche.
Bloc 1 - Socle de terrain,21,Vie courante et logement,il letto,le lit,Lo spostiamo dal letto alla barella.,Nous le transférons du lit au brancard.
Bloc 1 - Socle de terrain,21,Vie courante et logement,la poltrona,le fauteuil,Passa tutta la giornata in poltrona.,Il passe toute la journée dans le fauteuil.
Bloc 1 - Socle de terrain,21,Vie courante et logement,il pavimento,le sol,Era sdraiato sul pavimento da diverse ore.,Il était allongé sur le sol depuis plusieurs heures.
Bloc 1 - Socle de terrain,21,Vie courante et logement,accendere le luci,allumer les lumières,"Accenda tutte le luci, per favore.","Allumez toutes les lumières, s'il vous plaît."
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",la strada cantonale,la route cantonale,L'incidente è sulla strada cantonale.,L'accident est sur la route cantonale.
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",l'incrocio,le carrefour,Lo scontro è avvenuto all'incrocio.,La collision a eu lieu au carrefour.
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",il marciapiede,le trottoir,È caduta sul marciapiede davanti al negozio.,Elle est tombée sur le trottoir devant le magasin.
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",il semaforo,le feu de signalisation,Giri a destra dopo il semaforo.,Tournez à droite après le feu.
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",la rotonda,le giratoire,Prenda la seconda uscita della rotonda.,Prenez la deuxième sortie du giratoire.
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",l'autostrada,l'autoroute,"L'intervento è in autostrada, corsia di sorpasso.","L'intervention est sur l'autoroute, voie de dépassement."
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",la galleria,le tunnel,L'incidente è dentro la galleria.,L'accident est à l'intérieur du tunnel.
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",il veicolo,le véhicule,Il veicolo si è ribaltato nel fossato.,Le véhicule s'est renversé dans le fossé.
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",il pedone,le piéton,Il pedone è stato investito sulle strisce.,Le piéton a été renversé sur le passage clouté.
Bloc 1 - Socle de terrain,22,"Rue, circulation, environnement d'intervention",la corsia di emergenza,la bande d'arrêt d'urgence,Ci fermiamo sulla corsia di emergenza.,Nous nous arrêtons sur la bande d'arrêt d'urgence.
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,Stia tranquillo,Restez calme,"Stia tranquillo, la portiamo in ospedale.","Restez calme, nous vous emmenons à l'hôpital."
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,La aiutiamo noi,Nous vous aidons,"La aiutiamo noi, non faccia sforzi.","Nous vous aidons, ne faites pas d'efforts."
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,Ci pensiamo noi,On s'en occupe,"Ci pensiamo noi alla porta, lei si concentri sul respiro.","On s'occupe de la porte, vous concentrez-vous sur votre respiration."
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,Non sembra grave,Cela ne semble pas grave,Per ora non sembra niente di grave.,Pour l'instant cela ne semble rien de grave.
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,Le spiego,Je vous explique,Le spiego cosa facciamo adesso.,Je vous explique ce que nous faisons maintenant.
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,Sarà solo un momento,Ce ne sera qu'un instant,"Sarà solo un momento, poi finiamo.","Ce ne sera qu'un instant, puis nous aurons fini."
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,Può fare un po' male,Cela peut faire un peu mal,"Può fare un po' male, ma passa subito.","Cela peut faire un peu mal, mais ça passe tout de suite."
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,Respiri con me,Respirez avec moi,"Respiri con me: dentro e fuori, piano.","Respirez avec moi : inspirez, expirez, doucement."
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,Siamo quasi arrivati,Nous sommes presque arrivés,Siamo quasi arrivati al Pronto Soccorso.,Nous sommes presque arrivés aux urgences.
Bloc 1 - Socle de terrain,23,Rassurer et expliquer au patient,È in buone mani,Vous êtes entre de bonnes mains,"È in buone mani, la lasciamo ai colleghi.","Vous êtes entre de bonnes mains, nous vous confions aux collègues."
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",il consenso,le consentement,Ci serve il suo consenso per il trasporto.,Nous avons besoin de votre consentement pour le transport.
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",acconsentire,consentir,Acconsente a essere trasportato in ospedale?,Consentez-vous à être transporté à l'hôpital ?
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",rifiutare,refuser,Il paziente rifiuta il trasporto.,Le patient refuse le transport.
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",firmare,signer,Deve firmare qui il rifiuto di cura.,Vous devez signer ici le refus de soins.
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",il rifiuto di cura,le refus de soins,Compiliamo il modulo di rifiuto di cura.,Nous remplissons le formulaire de refus de soins.
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",il formulario,le formulaire (helvétisme),Le faccio firmare il formulario.,Je vous fais signer le formulaire.
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",le direttive anticipate,les directives anticipées,Il paziente ha delle direttive anticipate?,Le patient a-t-il des directives anticipées ?
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",la capacità di discernimento,la capacité de discernement,Valutiamo la capacità di discernimento del paziente.,Nous évaluons la capacité de discernement du patient.
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",informare,informer,L'abbiamo informata dei rischi del rifiuto.,Nous l'avons informée des risques du refus.
Bloc 1 - Socle de terrain,24,"Consentement, refus, autonomie du patient",la responsabilità,la responsabilité,"Se rifiuta, la responsabilità è sua.","Si vous refusez, la responsabilité vous incombe."
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,avere fretta,être pressé,"Non abbia fretta, si alzi piano.","Ne soyez pas pressé, levez-vous doucement."
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,dare una mano,donner un coup de main,Mi dai una mano a caricare la barella?,Tu me donnes un coup de main pour charger le brancard ?
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,fare in fretta,faire vite,"Facciamo in fretta, il paziente è instabile.","Faisons vite, le patient est instable."
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,stare male,se sentir mal (≠ être méchant),Sta male da stamattina.,Il se sent mal depuis ce matin.
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,essere salvo,être sain et sauf,È uscito salvo dall'incidente.,Il est sorti sain et sauf de l'accident.
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,il colpo di sonno,le coup de fatigue au volant,Ha avuto un colpo di sonno alla guida.,Il a eu un coup de fatigue au volant.
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,prendere freddo,attraper froid,Ha preso freddo aspettando fuori.,Il a attrapé froid en attendant dehors.
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,un attimo,un instant,"Un attimo, controllo la saturazione.","Un instant, je contrôle la saturation."
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,per terra,par terre,È rimasto per terra tutta la notte.,Il est resté par terre toute la nuit.
Bloc 1 - Socle de terrain,25,Expressions idiomatiques et faux-amis à surveiller,di corsa,"en vitesse, en courant",Sono sceso di corsa quando ho sentito il tonfo.,Je suis descendu en courant quand j'ai entendu le bruit sourd.
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,le vie aeree,les voies aériennes,Le vie aeree sono libere e pervie.,Les voies aériennes sont libres et perméables.
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,pervio,"perméable, libre","La via aerea è pervia, il paziente parla.","La voie aérienne est libre, le patient parle."
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,ostruito,obstrué,Le vie aeree sono parzialmente ostruite.,Les voies aériennes sont partiellement obstruées.
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,l'iperestensione del capo,l'hyperextension de la tête,Eseguo l'iperestensione del capo.,J'effectue l'hyperextension de la tête.
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,il sollevamento del mento,l'élévation du menton,Mantengo il sollevamento del mento.,Je maintiens l'élévation du menton.
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,la sublussazione della mandibola,la subluxation de la mâchoire,Nel trauma uso la sublussazione della mandibola.,En traumatologie j'utilise la subluxation de la mâchoire.
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,il corpo estraneo,le corps étranger,Vedo un corpo estraneo in bocca.,Je vois un corps étranger dans la bouche.
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,la protesi dentaria,la prothèse dentaire,Tolgo la protesi dentaria mobile.,Je retire la prothèse dentaire mobile.
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,russare,ronfler (respiration stertoreuse),"Il paziente russa, la lingua ostruisce la via aerea.","Le patient ronfle, la langue obstrue la voie aérienne."
Bloc 2 - Bilan medical,26,A : Vie aeree (voies aériennes) I,il gorgoglio,le gargouillement,Sento un gorgoglio: aspiro subito.,J'entends un gargouillement : j'aspire immédiatement.
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),soffocare,étouffer,Il bambino sta soffocando con un pezzo di mela.,L'enfant s'étouffe avec un morceau de pomme.
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),la disostruzione,la désobstruction,Procedo con le manovre di disostruzione.,Je procède aux manœuvres de désobstruction.
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),le pacche interscapolari,les claques dans le dos,Do cinque pacche interscapolari.,Je donne cinq claques interscapulaires.
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),la manovra di Heimlich,la manœuvre de Heimlich,Eseguo la manovra di Heimlich.,J'effectue la manœuvre de Heimlich.
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),aspirare,aspirer,Aspiro le secrezioni dal cavo orale.,J'aspire les sécrétions de la cavité buccale.
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),l'aspiratore,l'aspirateur de mucosités,"Passami l'aspiratore, per favore.","Passe-moi l'aspirateur, s'il te plaît."
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),le secrezioni,les sécrétions,Ha molte secrezioni nelle vie aeree.,Il a beaucoup de sécrétions dans les voies aériennes.
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),la cannula orofaringea,la canule oropharyngée,Inserisco una cannula orofaringea misura tre.,J'insère une canule oropharyngée taille trois.
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),il riflesso faringeo,le réflexe pharyngé,"Ha ancora il riflesso faringeo, tolgo la cannula.","Il a encore le réflexe pharyngé, je retire la canule."
Bloc 2 - Bilan medical,27,A : Vie aeree II (obstruction et aspiration),la posizione laterale di sicurezza,la position latérale de sécurité,Lo metto in posizione laterale di sicurezza.,Je le mets en position latérale de sécurité.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),il respiro,la respiration,Il respiro è superficiale e frequente.,La respiration est superficielle et rapide.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),la frequenza respiratoria,la fréquence respiratoire,Frequenza respiratoria ventotto al minuto.,Fréquence respiratoire vingt-huit par minute.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),la dispnea,la dyspnée,Il paziente presenta dispnea a riposo.,Le patient présente une dyspnée au repos.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),l'affanno,l'essoufflement,Ha l'affanno anche da seduto.,Il est essoufflé même assis.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),tachipnoico,tachypnéique,Il paziente è tachipnoico e sudato.,Le patient est tachypnéique et en sueur.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),l'espansione toracica,l'ampliation thoracique,L'espansione toracica è simmetrica.,L'ampliation thoracique est symétrique.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),superficiale,superficiel,Il respiro è superficiale.,La respiration est superficielle.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),profondo,profond,Faccia un respiro profondo.,Prenez une respiration profonde.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),il tiraggio,le tirage,Si nota tiraggio intercostale.,On note un tirage intercostal.
Bloc 2 - Bilan medical,28,B : Respirazione I (mécanique ventilatoire),la respirazione paradossa,la respiration paradoxale,Presenta respirazione paradossa a destra.,Il présente une respiration paradoxale à droite.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),auscultare,ausculter,Ausculto i campi polmonari.,J'ausculte les champs pulmonaires.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),il murmure vescicolare,le murmure vésiculaire,Murmure vescicolare presente bilateralmente.,Murmure vésiculaire présent des deux côtés.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),i sibili,les sibilances,Sento sibili espiratori diffusi.,J'entends des sibilances expiratoires diffuses.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),i rantoli,les râles,"Rantoli alle basi, sospetto edema polmonare.","Râles aux bases, je suspecte un œdème pulmonaire."
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),il fischio,le sifflement,Ha un fischio quando espira.,Il a un sifflement quand il expire.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),la saturazione,la saturation,Saturazione ottantotto per cento in aria ambiente.,Saturation quatre-vingt-huit pour cent à l'air ambiant.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),l'ossigeno,l'oxygène,Somministro ossigeno a dieci litri al minuto.,J'administre de l'oxygène à dix litres par minute.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),la maschera con reservoir,le masque à haute concentration,Metto la maschera con reservoir.,Je mets le masque à haute concentration.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),gli occhialini nasali,les lunettes à oxygène,Passiamo agli occhialini nasali a due litri.,Nous passons aux lunettes à oxygène à deux litres.
Bloc 2 - Bilan medical,29,B : Respirazione II (auscultation et oxygène),ventilare,ventiler,Ventilo con pallone e maschera.,Je ventile au ballon et masque.
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",il polso,le pouls,Il polso radiale è presente e regolare.,Le pouls radial est présent et régulier.
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",il polso carotideo,le pouls carotidien,Cerco il polso carotideo per dieci secondi.,Je cherche le pouls carotidien pendant dix secondes.
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",la frequenza cardiaca,la fréquence cardiaque,Frequenza cardiaca centoventi al minuto.,Fréquence cardiaque cent vingt par minute.
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",tachicardico,tachycarde,Il paziente è tachicardico e ipoteso.,Le patient est tachycarde et hypotendu.
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",bradicardico,bradycarde,È bradicardico a quaranta battiti.,Il est bradycarde à quarante battements.
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",la pressione arteriosa,la tension artérielle,Pressione arteriosa novanta su sessanta.,Tension artérielle quatre-vingt-dix sur soixante.
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",ipoteso,hypotendu,"Il paziente è ipoteso, alziamo le gambe.","Le patient est hypotendu, nous surélevons les jambes."
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",il tempo di riempimento capillare,le temps de recoloration cutanée,Riempimento capillare superiore a tre secondi.,Recoloration cutanée supérieure à trois secondes.
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",la cute,la peau,"La cute è fredda, pallida e sudata.","La peau est froide, pâle et moite."
Bloc 2 - Bilan medical,30,"C : Circolazione I (pouls, tension, perfusion)",lo shock,le choc,Sospettiamo uno shock ipovolemico.,Nous suspectons un choc hypovolémique.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),l'emorragia,l'hémorragie,Emorragia importante alla coscia destra.,Hémorragie importante à la cuisse droite.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),il sanguinamento,le saignement,Il sanguinamento è arterioso e pulsante.,Le saignement est artériel et pulsatile.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),comprimere,comprimer,Comprimo direttamente sulla ferita.,Je comprime directement sur la plaie.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),la compressione diretta,la compression directe,La compressione diretta non basta.,La compression directe ne suffit pas.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),il laccio emostatico,le garrot,Applico il laccio emostatico sopra la ferita.,J'applique le garrot au-dessus de la plaie.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),la medicazione compressiva,le pansement compressif,Metto una medicazione compressiva.,Je pose un pansement compressif.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),la garza sterile,la compresse stérile,Passami altre garze sterili.,Passe-moi d'autres compresses stériles.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),il coagulo,le caillot,"Non togliere la garza, rovini il coagulo.","N'enlève pas la compresse, tu abîmes le caillot."
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),l'epistassi,"l'épistaxis, le saignement de nez",Epistassi in paziente anticoagulato.,Épistaxis chez un patient sous anticoagulants.
Bloc 2 - Bilan medical,31,C : Circolazione II (hémorragies),il sangue,le sang,Ha perso molto sangue prima del nostro arrivo.,Il a perdu beaucoup de sang avant notre arrivée.
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",lo stato di coscienza,l'état de conscience,Valuto lo stato di coscienza con la scala AVPU.,J'évalue l'état de conscience avec l'échelle AVPU.
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",la scala di Glasgow,le score de Glasgow,Glasgow tredici: apre gli occhi allo stimolo verbale.,Glasgow treize : il ouvre les yeux à la stimulation verbale.
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",vigile,"vigile, éveillé",Il paziente è vigile e orientato.,Le patient est vigile et orienté.
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",lo stimolo doloroso,le stimulus douloureux,Reagisce solo allo stimolo doloroso.,Il ne réagit qu'au stimulus douloureux.
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",non responsivo,non réactif,Il paziente è non responsivo.,Le patient est non réactif.
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",le pupille,les pupilles,Pupille isocoriche e reagenti alla luce.,Pupilles isocores et réactives à la lumière.
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",isocorico,isocore,"Pupille isocoriche, diametro tre millimetri.","Pupilles isocores, diamètre trois millimètres."
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",la midriasi,la mydriase,Midriasi bilaterale non reagente.,Mydriase bilatérale aréactive.
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",la miosi,le myosis,"Miosi serrata, sospetto intossicazione da oppiacei.","Myosis serré, je suspecte une intoxication aux opiacés."
Bloc 2 - Bilan medical,32,"D : Disabilità neurologica I (conscience, pupilles)",orientato nel tempo e nello spazio,orienté dans le temps et l'espace,Il paziente è orientato nel tempo e nello spazio.,Le patient est orienté dans le temps et l'espace.
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),l'ictus,l'AVC,"Sospetto ictus, attiviamo il percorso ictus.","Suspicion d'AVC, nous activons la filière AVC."
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),la paresi,la parésie,Paresi del braccio destro da un'ora.,Parésie du bras droit depuis une heure.
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),l'emiplegia,l'hémiplégie,Emiplegia sinistra completa.,Hémiplégie gauche complète.
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),la bocca storta,la bouche déviée,Ha la bocca storta a sinistra.,Il a la bouche déviée à gauche.
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),l'afasia,l'aphasie,"Il paziente è afasico, non trova le parole.","Le patient est aphasique, il ne trouve pas ses mots."
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),la disartria,la dysarthrie,Parla con disartria evidente.,Il parle avec une dysarthrie évidente.
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),l'ora d'esordio,l'heure de début,L'ora d'esordio dei sintomi è le sette e trenta.,L'heure de début des symptômes est sept heures trente.
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),la crisi convulsiva,la crise convulsive,Ha avuto una crisi convulsiva generalizzata.,Il a fait une crise convulsive généralisée.
Bloc 2 - Bilan medical,33,D : Disabilità neurologica II (AVC et convulsions),le convulsioni,les convulsions,Le convulsioni sono durate due minuti.,Les convulsions ont duré deux minutes.
